,All Locations,Duration,Earliest Start Date,Application Deadline,Languages,Study Type,Pace,Tuition Fees**,url,Tuition Fees*,Tuition Fees,Study Locations,"Belgium, Brussels"
266,"Rome, Italy",1 year,Apr 2022,Request Info,English,Campus,Full-time,,https://www.mbastudies.com//International-MBA/Italy/Rome-Business-School/,"EUR 18,000 / year",,,
267,"Paris, France, Madrid, Spain, London, United Kingdom, Berlin, Germany, Turin, Italy, Warsaw, Poland",1 year,Request Info,Request Info,English,Campus,Full-time,,https://www.mbastudies.com/MBA-in-International-Management/France/ESCPEuropeBusinessSchool/,,"EUR 46,350 / year",,
268,"Zürich, Switzerland, Antwerp, Belgium, Barcelona, Spain, Brussels, Belgium, Madrid, Spain, Tokyo, Japan, Amsterdam, Netherlands, Milan, Italy, Geneva, Switzerland",1 - 2 years,Open Enrollment,Request Info,English,Online & Campus Combined,Full-time,,https://www.mbastudies.com//MBA-Master-of-Business-Administration/Switzerland/UIBS/,"CHF 42,000",,,
269,"Trieste, Italy",12 months,28 Sep 2022,14 Sep 2022,English,Online & Campus Combined,Full-time,,https://www.mbastudies.com/Full-time-MBA-in-International-Business/Italy/MIB/,"EUR 25,000 / year",,,
270,"London, United Kingdom, Ragusa, Italy, Panama City, Panama",1 - 3 years,Open Enrollment,Request Info,"English, Italian",Online,Full-time,,https://www.onlinestudies.com/Master-of-Business-Administration/United-Kingdom/Selinus-University-Business-School/,"EUR 3,000",,,
271,"Milan, Italy",14 months,Open Enrollment,Request Info,Italian,Online,Part-time,,https://www.onlinestudies.com//Executive-MBA-Banking/Italy/European-School-of-Banking-Management/,,Request Info,,
272,"Bologna, Italy",1 year,Sep 2022,08 Jul 2022*,English,Campus,Full-time,"EUR 35,000",https://www.mbastudies.com//Global-MBA-Automation-and-Robotics/Italy/BBS/,,,,
273,"Milan, Italy",Request Info,Open Enrollment,Request Info,Italian,Online,Full-time,,https://www.onlinestudies.com/MBA-Online-Master-Accredited-in-Business-Administration-999-€-instead-of-5-000-€-Last-3-Places-Available/Italy/Life-Learning/,,EUR 999 / year,,
274,"Milan, Italy",12 months,Request Info,Request Info,English,Campus,Full-time,,https://www.mbastudies.com/MBA-in-Global-Hospitality-and-Tourism-Management/Italy/UET/,,"EUR 9,450",,
275,"Paris, France, Milan, Italy",1 year,Request Info,Request Info,"English, French",Campus,Full-time,,https://www.mbastudies.com/MBA-ParisMilan-in-Luxury-Brand-Management/France/ModArt/,,"EUR 14,000 / year",,
276,"Rome, Italy",1 - 2 years,Open Enrollment,Request Info,English,Online & Campus Combined,Full-time,,https://www.mbastudies.com//Master-of-Business-Administration-International-Accredited-MBA-Program/Italy/SSM-Rome/,"EUR 15,300 / year",,,
277,"Gland, Switzerland, Milan, Italy",1 year,Request Info,Request Info,English,Campus,Full-time,,https://www.mbastudies.com/MBA-in-Sustainable-Fashion-Management/Switzerland/Sustainability-Management-School/,"CHF 42,200 / year",,,
278,"Milan, Italy",12 months,Oct 2022,30 Jun 2022,English,Campus,Full-time,,https://www.mbastudies.com/International-Full-time-MBA/Italy/MIP/,"EUR 39,000 / year",,,
279,"Milan, Italy",20 months,Nov 2022,Request Info*,English,Online,Full-time,,https://www.onlinestudies.com/i-Flex-International-Flex-EMBA-The-Distance-Learning-MBA/Italy/MIP/,,"EUR 37,000 / year",,
280,"Rome, Italy, Italy Online, Italy",12 months,Apr 2022,Request Info,English,Online,Full-time,,https://www.onlinestudies.com/Online-International-MBA/Italy/Rome-Business-School/,"EUR 15,900 / year",,,
281,"Zürich, Switzerland, Antwerp, Belgium, Barcelona, Spain, Brussels, Belgium, Madrid, Spain, Tokyo, Japan, Amsterdam, Netherlands, Milan, Italy, Geneva, Switzerland",2 years,Apr 2022,Request Info,English,Online,Part-time,,https://www.onlinestudies.com/Online-Master-of-Business-Administration-(OMBA)/Switzerland/UIBS/,,"CHF 18,480 / year",,
282,"Trieste, Italy",24 months,28 Sep 2022,14 Sep 2022,English,Campus,Part-time,,https://www.mbastudies.com/Part-time-International-MBA/Italy/MIB/,"EUR 25,000 / year",,,
283,"Trieste, Italy",24 months,Nov 2022,01 Oct 2022,English,Online & Campus Combined,Part-time,,https://www.mbastudies.com/Executive-MBA-in-Business-Innovation/Italy/MIB/,,"EUR 30,000 / year",,
284,"Bologna, Italy",1 year,Sep 2022,08 Jul 2022*,English,Campus,Full-time,"EUR 35,000",https://www.mbastudies.com//Global-MBA-Design-Fashion-and-Luxury-Goods/Italy/BBS/,,,,
285,"Bologna, Italy",1 year,Sep 2022,08 Jul 2022*,English,Campus,Full-time,"EUR 35,000",https://www.mbastudies.com//Global-MBA-Green-Energy-and-Sustainable-Businesses/Italy/BBS/,,,,
286,"Bologna, Italy",1 year,Sep 2022,08 Jul 2022*,English,Campus,Full-time,"EUR 35,000",https://www.mbastudies.com//Global-MBA-Supercars-Superbikes-and-Motorsports/Italy/BBS/,,,,
287,"Niigata, Japan",2 years,Sep 2022,Request Info*,English,Campus,Full-time,"JPY 3,200,000 / year",https://www.mbastudies.com/MBA/Japan/IUJ/,,,,
288,"Tokyo, Japan",2 years,Sep 2022,13 May 2022*,"English, Japanese",Campus,Full-time,"USD 33,900",https://www.mbastudies.com/International-MBA-Program/Japan/Waseda-Business-School/,,,,
289,"Nagoya, Japan",1 - 2 years,Request Info,Request Info,English,Campus,Full-time,,https://www.mbastudies.com/English-MBA-and-MSc-in-Management/Japan/NUCBBusinessSchool/,"USD 28,000",,,
290,"Beppu, Japan",2 years,Apr 2022,Request Info*,English,Campus,Full-time,,https://www.mbastudies.com//Master-of-Business-Administration-(MBA)/Japan/APU-Japan/,,"JPY 3,800,000",,
291,"Zürich, Switzerland, Antwerp, Belgium, Barcelona, Spain, Brussels, Belgium, Madrid, Spain, Tokyo, Japan, Amsterdam, Netherlands, Milan, Italy, Geneva, Switzerland",1 - 2 years,Open Enrollment,Request Info,English,Online & Campus Combined,Full-time,,https://www.mbastudies.com//MBA-Master-of-Business-Administration/Switzerland/UIBS/,"CHF 42,000",,,
292,,,,,,,,,https://www.mbastudies.com/Manchester-Global-MBA-(Part-time)/Hong-Kong/The-University-of-Manchester-East-Asia-Centre/,,,,
293,"Kobe, Japan",Request Info,Request Info,Request Info,Japanese,Campus,,,https://www.mbastudies.com/MBA-Program/Japan/Kobe-University/,,Request Info,,
294,"Oxford, United Kingdom, Hong Kong, Shanghai, China, Kuala Lumpur, Malaysia, Mumbai, India, Lagos, Nigeria, Tokyo, Japan",12 - 18 months,Open Enrollment,Request Info,English,Campus,Full-time,,https://www.mbastudies.com/Master-of-Business-Administration-MBA/United-Kingdom/Oxademy/,,"GBP 5,950 / year",,
295,"Kyoto, Japan",Request Info,Apr 2022,Request Info,Japanese,Campus,,,https://www.mbastudies.com//Finance-and-Accountancy-Program/Japan/Kyoto-University-Graduate-School-of-Management/,,Request Info,,
296,"Setaoecho, Japan",Request Info,Apr 2022,Request Info,Japanese,Campus,,,https://www.mbastudies.com//MBA/Japan/Ryukoku-University/,,Request Info,,
297,"Sapporo, Japan",Request Info,Apr 2022,Request Info,Japanese,Campus,,,https://www.mbastudies.com//MBA/Japan/Hokkai-Gakuen-University/,,Request Info,,
298,"Kobe, Japan",Request Info,Apr 2022,Request Info,Japanese,Campus,,,https://www.mbastudies.com/MBA/Japan/Kobe-Gakuin-University/,,Request Info,,
299,"Bunkyo City, Japan",Request Info,Apr 2022,Request Info,Japanese,Campus,,,https://www.mbastudies.com/MBA/Japan/Bunkyo-Gakuin-University/,,Request Info,,
300,"Niigata, Japan",1 year,Sep 2022,Request Info*,English,Campus,Full-time,,https://www.mbastudies.com/MBA-1-year-Track-(Intensive-MBA-program)/Japan/IUJ/,,"JPY 3,900,000 / year",,
301,"Zürich, Switzerland, Antwerp, Belgium, Barcelona, Spain, Brussels, Belgium, Madrid, Spain, Tokyo, Japan, Amsterdam, Netherlands, Milan, Italy, Geneva, Switzerland",2 years,Apr 2022,Request Info,English,Online,Part-time,,https://www.onlinestudies.com/Online-Master-of-Business-Administration-(OMBA)/Switzerland/UIBS/,,"CHF 18,480 / year",,
302,"Causeway Bay, Hong Kong, Seoul, South Korea, Taipei, Taiwan, Tokyo, Japan",2 years,Jul 2022,Request Info*,English,Online & Campus Combined,Part-time,"USD 65,000",https://www.mbastudies.com/Kelley-Manchester-Global-MBA-(Part-time)/Hong-Kong/The-University-of-Manchester-East-Asia-Centre/,,,,
303,"Kyoto, Japan",Request Info,Apr 2022,Request Info,Japanese,Campus,,,https://www.mbastudies.com//International-MBA-Programs/Japan/Kyoto-University-Graduate-School-of-Management/,,Request Info,,
304,"London, United Kingdom, Boston, USA, Dubai, United Arab Emirates",18 - 24 months,Apr 2022,Request Info,English,Campus,Part-time,,https://www.mbastudies.com/Executive-MBA/United-Kingdom/Hult/,,"USD 85,000 / year",,
305,"UK Online, United Kingdom",18 - 36 months,Apr 2022,Request Info,English,Online,Full-time,,https://www.onlinestudies.com//Global-MBA-Data-Analytics/United-Kingdom/London-School-of-Business-and-Finance/,,"GBP 9,000",,
306,"Ipswich, United Kingdom",2 - 3 years,Open Enrollment,Request Info,English,Online,Full-time,,https://www.onlinestudies.com/Master-of-Business-Administration/United-Kingdom/Unicaf-University-of-Suffolk/,,Request Info,,
307,Online United Kingdom,24 months,Aug 2022,Contact school,English,Online,Full-time,,https://www.onlinestudies.com/The-UCL-MBA-global-and-online/United-Kingdom/UCL/,,Contact school,,
308,"Wallisdown, United Kingdom",1 - 2 years,Request Info,Request Info,English,Campus,Full-time,,https://www.mbastudies.com/Master-of-Business-Administration/United-Kingdom/Bournemouth-University/,"GBP 15,000",,,
309,"Liverpool, United Kingdom",2 - 5 years,Open Enrollment,Request Info,English,Online,Part-time,,https://www.onlinestudies.com/Master-of-Business-Administration/United-Kingdom/JMU/,,Request Info,,
310,"Nottingham, United Kingdom",20 - 32 months,Request Info,Request Info,English,Online,Part-time,,https://www.onlinestudies.com/Online-MBA/United-Kingdom/Nottingham-Trent-University-Online/,,Request Info,,
311,"Oxford, United Kingdom, Sharjah, United Arab Emirates",12 months,Open Enrollment,Request Info,English,Online,Full-time,,https://www.onlinestudies.com/Executive-MBA-in-Business-Analytics/United-Kingdom/Eaton-Business-School/,"USD 8,200 / year",,,
312,Online United Kingdom,1 - 2 years,Apr 2022,Request Info,English,Online,Full-time,,https://www.onlinestudies.com/MBA-(Top-up)/United-Kingdom/Arden-University/,"GBP 4,500",,,
313,Online United Kingdom,18 - 36 months,07 May 2022,Contact school,English,Online,Full-time,,https://www.onlinestudies.com/MBA-(Master-of-Business-Administration)/United-Kingdom/Open-University/,"GBP 17,175",,,
314,Online,2 years,Request Info,Request Info,English,Online,Part-time,,https://www.onlinestudies.com/Master-of-Business-Administration-(MBA)/United-Kingdom/University-of-Essex-Online/,,"GBP 13,500 / year",,
315,"UK Online, United Kingdom",30 months,Request Info,Request Info,English,Online,Part-time,,https://www.onlinestudies.com//Online-MBA/United-Kingdom/University-of-Birmingham-Online/,,Request Info,,
316,"Witney, United Kingdom",2 years,Sep 2022,31 Mar 2022,English,Campus,Full-time,,https://www.mbastudies.com/MBA-program/United-Kingdom/PHBS/,,"GBP 23,000 / year",,
317,"London, United Kingdom, Boston, USA, Dubai, United Arab Emirates",2 years,Apr 2022,Request Info,English,Online & Campus Combined,Part-time,,https://www.mbastudies.com/Hybrid-MBA/United-Kingdom/Hult/,,"USD 57,500 / course",,
318,"London, United Kingdom, Boston, USA, San Francisco, USA, Dubai, United Arab Emirates",1 year,Sep 2022,28 Jul 2022,English,Campus,Full-time,,https://www.mbastudies.com/Global-One-Year-MBA/United-Kingdom/Hult/,,"USD 79,800 / year",,
319,"UK Online, United Kingdom",18 - 36 months,Apr 2022,Request Info,English,Online,Full-time,,https://www.onlinestudies.com//Global-MBA/United-Kingdom/London-School-of-Business-and-Finance/,"GBP 9,000 / year",,,
320,"UK Online, United Kingdom",18 - 36 months,Apr 2022,Request Info,English,Online,Full-time,,https://www.onlinestudies.com//Global-MBA-(Financial-Management)/United-Kingdom/London-School-of-Business-and-Finance/,"GBP 9,000 / year",,,
321,"UK Online, United Kingdom",18 - 36 months,Apr 2022,Request Info,English,Online,Full-time,,https://www.onlinestudies.com//Global-MBA-(International-Business)/United-Kingdom/London-School-of-Business-and-Finance/,"GBP 9,000 / year",,,
322,"UK Online, United Kingdom",18 - 36 months,Apr 2022,Request Info,English,Online,Full-time,,https://www.onlinestudies.com//Global-MBA-(Project-Management)/United-Kingdom/London-School-of-Business-and-Finance/,"GBP 9,000 / year",,,
323,"UK Online, United Kingdom",18 - 36 months,Apr 2022,Request Info,English,Online,Full-time,,https://www.onlinestudies.com//Global-MBA-(Sales-Management)/United-Kingdom/London-School-of-Business-and-Finance/,"GBP 9,000 / year",,,
324,"Nottingham, United Kingdom",20 months,Request Info,Request Info,English,Online,Part-time,,https://www.onlinestudies.com/MBA-Fast-Track/United-Kingdom/Nottingham-Trent-University-Online/,,Request Info,,
325,"Oxford, United Kingdom, Sharjah, United Arab Emirates",12 months,Open Enrollment,Request Info,English,Online,Full-time,,https://www.onlinestudies.com/Executive-MBA-in-Healthcare-Management/United-Kingdom/Eaton-Business-School/,,"USD 8,200 / year",,
326,"Oxford, United Kingdom, Sharjah, United Arab Emirates",12 months,Open Enrollment,Request Info,English,Online,Full-time,,https://www.onlinestudies.com/Executive-MBA-in-Project-Management/United-Kingdom/Eaton-Business-School/,,"USD 8,200 / year",,
327,"Oxford, United Kingdom",12 months,Open Enrollment,Request Info,English,Online,Full-time,,https://www.onlinestudies.com/Executive-MBA-in-Supply-Chain-and-Logistics-Management/United-Kingdom/Eaton-Business-School/,,"USD 8,200 / year",,
328,"Oxford, United Kingdom",12 months,Request Info,Request Info,English,Online,Full-time,,https://www.onlinestudies.com/International-MBA/United-Kingdom/Eaton-Business-School/,,"USD 8,200 / year",,
329,Online United Kingdom,18 - 36 months,07 May 2022,Contact school,Spanish,Online,Full-time,,https://www.onlinestudies.com/MBA-(Technology-Management)/United-Kingdom/Open-University/,"GBP 16,200",,,
330,"UK Online, United Kingdom",30 months,Request Info,Request Info,English,Online,Part-time,,https://www.onlinestudies.com/Clinical-Leadership-MBA-online/United-Kingdom/University-of-Birmingham-Online/,,Request Info,,
331,"Nottingham, United Kingdom",32 months,Request Info,Request Info,English,Online,Part-time,,https://www.onlinestudies.com/Online-Masters-of-Business-Administration-with-Data-Analytics/United-Kingdom/Nottingham-Trent-University-Online/,,Request Info,,
332,Online United Kingdom,18 - 50 months,Apr 2022,Request Info,English,Online,Full-time,,https://www.onlinestudies.com/Master-of-Business-Administration-(Finance)/United-Kingdom/Arden-University/,"GBP 10,950",,,
333,Online United Kingdom,18 - 60 months,Apr 2022,Request Info,English,Online,Full-time,,https://www.onlinestudies.com/MBA-(Data-Analytics)/United-Kingdom/Arden-University/,"GBP 10,950",,,
334,Online United Kingdom,18 - 60 months,Apr 2022,Request Info,English,Online,Full-time,,https://www.onlinestudies.com/MBA-(CMI)/United-Kingdom/Arden-University/,"GBP 10,950",,,
335,Online United Kingdom,1 - 5 years,Apr 2022,Request Info,English,Online,Full-time,,https://www.onlinestudies.com/MBA-(Graduate)-(CMI)/United-Kingdom/Arden-University/,"GBP 10,950",,,
336,"City of Carlisle, United Kingdom",1 - 5 years,Open Enrollment,Request Info,English,Online,Full-time,,https://www.onlinestudies.com/Online-MBA-Energy-and-Sustainability-University-of-Cumbria-(UK)/United-Kingdom/RobertKennedyCollegeOnline/,"CHF 12,000 / year",,,
337,"City of Carlisle, United Kingdom",1 - 5 years,Open Enrollment,Request Info,English,Online,Full-time,,https://www.onlinestudies.com/Online-MBA-Finance-and-Sustainability-University-of-Cumbria-(UK)/United-Kingdom/RobertKennedyCollegeOnline/,"CHF 12,000 / year",,,
338,"City of Carlisle, United Kingdom",1 - 5 years,Open Enrollment,Request Info,English,Online,Full-time,,https://www.onlinestudies.com//Online-MBA-Media-Leadership-University-of-Cumbria-(UK)/United-Kingdom/RobertKennedyCollegeOnline/,"CHF 12,000 / year",,,
339,"City of Carlisle, United Kingdom",1 - 5 years,Open Enrollment,Request Info,English,Online,Full-time,,https://www.onlinestudies.com//Online-MBA-Leadership-and-Sustainability-University-of-Cumbria-(UK)/United-Kingdom/RobertKennedyCollegeOnline/,"CHF 12,000 / year",,,
340,"City of Carlisle, United Kingdom",1 - 5 years,Open Enrollment,Request Info,English,Online,Full-time,,https://www.onlinestudies.com/Online-Master-of-Business-Administration-University-of-Cumbria-(UK)/United-Kingdom/RobertKennedyCollegeOnline/,"CHF 12,000 / year",,,
341,"City of Carlisle, United Kingdom",1 - 5 years,Open Enrollment,Request Info,English,Online,Full-time,,https://www.onlinestudies.com//Online-MBA-International-Healthcare-Management-University-of-Cumbria-(UK)/United-Kingdom/RobertKennedyCollegeOnline/,"CHF 12,000 / year",,,
342,"City of Carlisle, United Kingdom",1 - 5 years,Open Enrollment,Request Info,English,Online,Full-time,,https://www.onlinestudies.com/Online-MBA-Public-Health-Management-University-of-Cumbria-(UK)/United-Kingdom/RobertKennedyCollegeOnline/,"CHF 12,000 / year",,,
343,"City of Carlisle, United Kingdom",1 - 5 years,Open Enrollment,Request Info,English,Online,Full-time,,https://www.onlinestudies.com//Online-MBA-International-Business-University-of-Cumbria-(UK)/United-Kingdom/RobertKennedyCollegeOnline/,"CHF 12,000 / year",,,
344,"York, United Kingdom",1 - 3 years,Open Enrollment,Request Info,English,Online,Full-time,,https://www.onlinestudies.com/Online-MBA-Leading-Innovation-and-Change-York-St-John-University-(UK)/United-Kingdom/RobertKennedyCollegeOnline/,"CHF 15,000 / year",,,
345,"York, United Kingdom",1 - 3 years,Open Enrollment,Request Info,English,Online,Full-time,,https://www.onlinestudies.com/Online-MBA-Coaching-Mentoring-and-Leadership-York-St-John-University-(UK)/United-Kingdom/RobertKennedyCollegeOnline/,"CHF 15,000 / year",,,
346,,,,,,,,,https://www.onlinestudies.com/Online-MBA-in-Management-Consulting-York-St-John-University-(UK)/Switzerland/RobertKennedyCollegeOnline/,,,,
347,"York, United Kingdom",1 - 3 years,Aug 2022,Request Info,English,Online,Full-time,,https://www.onlinestudies.com/Online-MBA-Entrepreneurship-and-Innovation-York-St-John-University-(UK)/United-Kingdom/RobertKennedyCollegeOnline/,"CHF 15,000 / year",,,
348,"York, United Kingdom",1 - 3 years,Open Enrollment,Request Info,English,Online,Full-time,,https://www.onlinestudies.com//Online-MBA-Innovation-Leadership-and-Consulting-York-St-John-University-(UK)/United-Kingdom/RobertKennedyCollegeOnline/,"CHF 15,000 / year",,,
349,"York, United Kingdom",1 - 3 years,Open Enrollment,Request Info,English,Online,Full-time,,https://www.onlinestudies.com/Online-MBA-Leadership-and-Management-York-St-John-University-(UK)/United-Kingdom/RobertKennedyCollegeOnline/,"CHF 15,000 / year",,,
350,"City of Carlisle, United Kingdom",1 - 5 years,Open Enrollment,Request Info,English,Online,Full-time,,https://www.onlinestudies.com/Online-MBA-Risk-Management-University-of-Cumbria-(UK)/United-Kingdom/RobertKennedyCollegeOnline/,"CHF 12,000 / year",,,
351,"City of Carlisle, United Kingdom",1 - 5 years,Open Enrollment,Request Info,English,Online,Full-time,,https://www.onlinestudies.com//Online-MBA-Educational-Leadership-University-of-Cumbria-(UK)/United-Kingdom/RobertKennedyCollegeOnline/,"CHF 12,000 / year",,,
352,"City of Carlisle, United Kingdom",1 - 5 years,Open Enrollment,Request Info,English,Online,Full-time,,https://www.onlinestudies.com//Online-MBA-Artificial-Intelligence-University-of-Cumbria-(UK)/United-Kingdom/RobertKennedyCollegeOnline/,"CHF 12,000 / year",,,
353,"City of Carlisle, United Kingdom",1 - 5 years,Aug 2022,Request Info,English,Online,Full-time,,https://www.onlinestudies.com/Online-MBA-Digital-Marketing-University-of-Cumbria-(UK)/United-Kingdom/RobertKennedyCollegeOnline/,"CHF 12,000 / year",,,
354,"City of Carlisle, United Kingdom",1 - 5 years,Open Enrollment,Request Info,English,Online,Full-time,,https://www.onlinestudies.com/Online-MBA-Information-Technology-University-of-Cumbria-(UK)/United-Kingdom/RobertKennedyCollegeOnline/,"CHF 12,000 / year",,,
355,"City of Carlisle, United Kingdom",1 - 5 years,Open Enrollment,Request Info,English,Online,Full-time,,https://www.onlinestudies.com//Online-Executive-MBA-University-of-Cumbria-(UK)/United-Kingdom/RobertKennedyCollegeOnline/,"CHF 12,000 / year",,,
356,"City of Carlisle, United Kingdom",1 - 5 years,Open Enrollment,Request Info,English,Online,Full-time,,https://www.onlinestudies.com/Online-MBA-International-Relations-and-Diplomacy-University-of-Cumbria-(UK)/United-Kingdom/RobertKennedyCollegeOnline/,"CHF 12,000 / year",,,
357,"City of Carlisle, United Kingdom",1 - 5 years,Open Enrollment,Request Info,English,Online,Full-time,,https://www.onlinestudies.com/Online-MBA-Legal-Leadership-University-of-Cumbria-(UK)/United-Kingdom/RobertKennedyCollegeOnline/,"CHF 12,000 / year",,,
358,"London, United Kingdom",Request Info,Open Enrollment,Request Info,English,Online,Full-time,,https://www.onlinestudies.com/MBA/United-Kingdom/Unicaf-University-of-East-London/,,Request Info,,
359,"London, United Kingdom",1 - 3 years,Request Info,Request Info,English,Campus,Full-time,,https://www.mbastudies.com/MBA-Luxury-Brand-Management/United-Kingdom/British-School-of-Fashion/,,"GBP 16,800 / year",,
360,"UK Online, United Kingdom",24 months,Mar 2022,Request Info,English,Online,Part-time,,https://www.onlinestudies.com/MBA/United-Kingdom/Manchester-Metropolitan-University-Online/,,"GBP 13,920 / year",,
361,"London, United Kingdom",1 - 2 years,Request Info,Request Info,English,Campus,Full-time,,https://www.mbastudies.com/MBA-in-Luxury-Brand-Management/United-Kingdom/GCU-London/,"GBP 16,800 / year",,,
362,"London, United Kingdom",1 year,Request Info,Request Info,English,Campus,Part-time,,https://www.mbastudies.com//MBA-Global-Masters-of-Business-Administration/United-Kingdom/GCU-London/,"GBP 10,000 / year",,,
363,"London, United Kingdom",2 semesters,Request Info,Request Info,English,Online,Full-time,,https://www.onlinestudies.com/Master-of-Business-Administration-(MBA)-Top-up/United-Kingdom/University-of-Bolton-Online-Studies/,"GBP 4,500 / course",,,
364,"Liverpool, United Kingdom",3 years,24 May 2022,19 May 2022,English,Online,Part-time,,https://www.onlinestudies.com/MBA-Master-of-Business-Administration/United-Kingdom/University-of-Liverpool-Online-Programmes/,,"GBP 21,000 / course",,
365,"Wrexham, United Kingdom",12 - 24 months,Open Enrollment,Request Info,English,Campus,Full-time,,https://www.mbastudies.com//MBA-Business-Administration/United-Kingdom/Wrexham-Glyndwr-University/,"GBP 11,000 / year",,,
366,"Swansea, United Kingdom, Newport Beach, USA, Online",1 - 2 years,Request Info,Request Info,English,Online,Full-time,,https://www.onlinestudies.com/The-Online-MBA/United-Kingdom/Ducere-Global-Business-School/,,,,
367,"Royal Docks, United Kingdom, Online",1 - 2 years,Request Info,Request Info,English,Online,Full-time,,https://www.onlinestudies.com/Online-MBA-(Luxury-Brand-Management)/United-Kingdom/Ducere-Global-Business-School/,,Request Info,,
368,"Royal Docks, United Kingdom, Online",1 - 2 years,Request Info,Request Info,English,Online,Full-time,,https://www.onlinestudies.com/The-Executive-MBA/United-Kingdom/Ducere-Global-Business-School/,,Request Info,,
369,"Sheffield, United Kingdom",1 - 2 years,Sep 2022,Request Info,English,Campus,Full-time,,https://www.mbastudies.com//Global-MBA/United-Kingdom/SHallam/,"GBP 17,105 / course",,,
370,"Sheffield, United Kingdom",1 - 2 years,Request Info,Request Info,English,Campus,Full-time,,https://www.mbastudies.com/MBA/United-Kingdom/SHallam/,,"GBP 15,400",,
371,"Sharjah, United Arab Emirates, Lagos, Nigeria, United Arab Emirates Online, United Arab Emirates, Cape Town, South Africa, Kuwait City, Kuwait, Riyadh, Saudi Arabia, Johannesburg, South Africa, Dammam, Saudi Arabia, Bahrain Online, Bahrain, Accra, Ghana, Toronto, Canada, Dubai, United Arab Emirates, Canada Online, Canada, Nigeria Online, Nigeria, Toronto, Canada, Cape Town, South Africa, Abu Dhabi, United Arab Emirates, Malaysia Online, Malaysia, Amman, Jordan, UK Online, United Kingdom",12 months,Open Enrollment,Request Info,English,Campus,Full-time,,https://www.mbastudies.com/MBA-in-International-Business/United-Arab-Emirates/Westford-University-College/,"AED 34,000 / year",,,
372,"Sharjah, United Arab Emirates, Lagos, Nigeria, United Arab Emirates Online, United Arab Emirates, Cape Town, South Africa, Kuwait City, Kuwait, Riyadh, Saudi Arabia, Johannesburg, South Africa, Dammam, Saudi Arabia, Bahrain Online, Bahrain, Accra, Ghana, Toronto, Canada, Dubai, United Arab Emirates, Canada Online, Canada, Nigeria Online, Nigeria, Toronto, Canada, Cape Town, South Africa, Abu Dhabi, United Arab Emirates, Malaysia Online, Malaysia, Amman, Jordan, UK Online, United Kingdom",1 year,Open Enrollment,Request Info,English,Campus,Full-time,,https://www.mbastudies.com/MBA-in-Data-analytics/United-Arab-Emirates/Westford-University-College/,,"AED 32,000 / year",,
373,"Sharjah, United Arab Emirates, Lagos, Nigeria, United Arab Emirates Online, United Arab Emirates, Cape Town, South Africa, Riyadh, Saudi Arabia, Johannesburg, South Africa, Dammam, Saudi Arabia, Bahrain Online, Bahrain, Dubai, United Arab Emirates, Toronto, Canada, Cape Town, South Africa, Abu Dhabi, United Arab Emirates, Malaysia Online, Malaysia, UK Online, United Kingdom",18 months,Open Enrollment,Request Info,English,Campus,Part-time,,https://www.mbastudies.com/MBA-in-Quality-Management/United-Arab-Emirates/Westford-University-College/,,"AED 32,000 / year",,
374,"Sharjah, United Arab Emirates, Lagos, Nigeria, United Arab Emirates Online, United Arab Emirates, Kuwait City, Kuwait, Riyadh, Saudi Arabia, Johannesburg, South Africa, Dammam, Saudi Arabia, Bahrain Online, Bahrain, Dubai, United Arab Emirates, Canada Online, Canada, Abu Dhabi, United Arab Emirates, Malaysia Online, Malaysia, UK Online, United Kingdom",12 months,Open Enrollment,Request Info,English,Campus,Part-time,,https://www.mbastudies.com/MBA-in-HR-and-Organisational-Psychology/United-Arab-Emirates/Westford-University-College/,,Request Info,,
375,"Brighton, United Kingdom",1 - 2 years,Sep 2022,01 Aug 2022*,English,Campus,Full-time,,https://www.mbastudies.com/The-Sussex-MBA/United-Kingdom/University-of-Sussex-Business-School/,,"GBP 23,000 / year",,
376,"High Wycombe, United Kingdom",2 years,Request Info,Request Info,English,Campus,Full-time,,https://www.mbastudies.com/International-Master-of-Business-Administration-(IMBA)/United-Kingdom/Buckinghamshire-New-University/,,"GBP 16,000 / year",,
377,"Paris, France, Madrid, Spain, London, United Kingdom, Berlina, Germany, Turin, Italy, Warsaw, Poland",1 year,Request Info,Request Info,English,Campus,Full-time,,https://www.mbastudies.com/MBA-in-International-Management/France/ESCPEuropeBusinessSchool/,,"EUR 46,350 / year",,
378,"Kingston upon Thames, United Kingdom, Moscow, Russia",1 - 2 years,Open Enrollment,Request Info,English,Campus,Full-time,,https://www.mbastudies.com/Master-of-Business-Administration-(MBA)/United-Kingdom/Kingston-University-Business-School/,"GBP 23,500 / year",,,
379,"Lincoln, United Kingdom",12 - 18 years,Request Info,Request Info*,English,Campus,Part-time,"GBP 13,200 / year",https://www.mbastudies.com/MBA-in-Leadership/United-Kingdom/University-of-Lincoln/,,,,
380,"Lincoln, United Kingdom",1 year,Request Info,Request Info,English,Campus,Full-time,,https://www.mbastudies.com/Master-of-Business-Administration/United-Kingdom/University-of-Lincoln/,"GBP 16,000 / year",,,
381,"Plymouth, United Kingdom",1 year,Request Info,Request Info*,English,Campus,Part-time,,https://www.mbastudies.com/MBA-Master-of-Business-Administration-(top-up)/United-Kingdom/University-of-Plymouth/,,"GBP 4,995",,
